Accession,Description,Sum(Coverage),Sum(# Proteins),Sum(# Unique Peptides),Sum(# Peptides),Sum(# PSMs),# AAs,MW [kDa],calc. pI
P70295,Ancient ubiquitous protein 1 OS=Mus musculus GN=Aup1 PE=2 SV=1 - [AUP1_MOUSE],17.07%,2,7,7,20,410,46.1,8.4
P97477,Aurora kinase A OS=Mus musculus GN=Aurka PE=1 SV=1 - [AURKA_MOUSE],2.28%,1,1,1,8,395,44.7,9.38
P59017,Bcl-2-like protein 13 OS=Mus musculus GN=Bcl2l13 PE=1 SV=2 - [B2L13_MOUSE],35.71%,1,10,10,34,434,46.7,4.59
Q9CPT0,Apoptosis facilitator Bcl-2-like protein 14 OS=Mus musculus GN=Bcl2l14 PE=1 SV=1 - [B2L14_MOUSE],1.83%,1,1,1,37,328,37,7.49
P01887,Beta-2-microglobulin OS=Mus musculus GN=B2m PE=1 SV=2 - [B2MG_MOUSE],23.53%,1,4,4,10,119,13.8,8.44
P13808,Anion exchange protein 2 OS=Mus musculus GN=Slc4a2 PE=1 SV=1 - [B3A2_MOUSE],7.52%,7,8,8,15,1237,136.7,6.14
P58158,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 OS=Mus musculus GN=B3gat3 PE=2 SV=1 - [B3GA3_MOUSE],21.79%,1,7,7,26,335,37,8.78
Q8BHT6,"Beta-1,3-glucosyltransferase OS=Mus musculus GN=B3galtl PE=2 SV=3 - [B3GLT_MOUSE]",2.86%,1,1,2,8,489,55.3,6.92
O54905,"Beta-1,3-galactosyltransferase 2 OS=Mus musculus GN=B3galt2 PE=2 SV=2 - [B3GT2_MOUSE]",10.43%,1,4,4,6,422,49.1,9.45
Q91Z92,"Beta-1,3-galactosyltransferase 6 OS=Mus musculus GN=B3galt6 PE=2 SV=1 - [B3GT6_MOUSE]",5.85%,1,1,1,1,325,37,8.82
Q3UK10,B9 domain-containing protein 2 OS=Mus musculus GN=B9d2 PE=1 SV=2 - [B9D2_MOUSE],25.14%,1,3,3,3,175,19.2,7.58
Q3UI43,BRISC and BRCA1-A complex member 1 OS=Mus musculus GN=Babam1 PE=2 SV=1 - [BABA1_MOUSE],54.65%,1,10,10,49,333,36.8,4.55
Q91V12,Cytosolic acyl coenzyme A thioester hydrolase OS=Mus musculus GN=Acot7 PE=1 SV=2 - [BACH_MOUSE],31.76%,2,13,13,72,381,42.5,8.68
O54962,Barrier-to-autointegration factor OS=Mus musculus GN=Banf1 PE=1 SV=1 - [BAF_MOUSE],73.03%,3,12,12,123,89,10.1,6.09
Q9JLV1,BAG family molecular chaperone regulator 3 OS=Mus musculus GN=Bag3 PE=1 SV=2 - [BAG3_MOUSE],72.44%,1,35,35,157,577,61.8,7.27
Q8CI32,BAG family molecular chaperone regulator 5 OS=Mus musculus GN=Bag5 PE=1 SV=1 - [BAG5_MOUSE],64.43%,3,29,30,217,447,50.9,6.05
Q61335,B-cell receptor-associated protein 31 OS=Mus musculus GN=Bcap31 PE=1 SV=4 - [BAP31_MOUSE],47.35%,4,20,21,175,245,27.9,8.7
Q07813,Apoptosis regulator BAX OS=Mus musculus GN=Bax PE=1 SV=1 - [BAX_MOUSE],29.69%,1,4,4,22,192,21.4,4.98
Q9Z277,Tyrosine-protein kinase BAZ1B OS=Mus musculus GN=Baz1b PE=1 SV=2 - [BAZ1B_MOUSE],35.90%,1,48,49,133,1479,170.5,8.6
Q9CWF6,Bardet-Biedl syndrome 2 protein homolog OS=Mus musculus GN=Bbs2 PE=1 SV=1 - [BBS2_MOUSE],3.47%,1,2,2,4,721,79.9,5.86
Q8C1Z7,Bardet-Biedl syndrome 4 protein homolog OS=Mus musculus GN=Bbs4 PE=1 SV=1 - [BBS4_MOUSE],2.50%,1,1,2,12,520,58.2,8.1
Q9R069,Basal cell adhesion molecule OS=Mus musculus GN=Bcam PE=2 SV=1 - [BCAM_MOUSE],35.05%,2,14,14,37,622,67.6,6.25
Q9QZK2,Breast cancer anti-estrogen resistance protein 3 OS=Mus musculus GN=Bcar3 PE=1 SV=1 - [BCAR3_MOUSE],23.66%,3,16,16,28,820,92.2,7.81
O35855,"Branched-chain-amino-acid aminotransferase, mitochondrial OS=Mus musculus GN=Bcat2 PE=2 SV=2 - [BCAT2_MOUSE]",46.31%,4,17,17,144,393,44.1,8.29
Q9CWI3,BRCA2 and CDKN1A-interacting protein OS=Mus musculus GN=Bccip PE=2 SV=1 - [BCCIP_MOUSE],17.09%,1,5,5,10,316,35.9,4.45
Q9Z0H7,B-cell lymphoma/leukemia 10 OS=Mus musculus GN=Bcl10 PE=1 SV=1 - [BCL10_MOUSE],65.67%,1,17,17,42,233,25.9,6.55
Q8K019,Bcl-2-associated transcription factor 1 OS=Mus musculus GN=Bclaf1 PE=1 SV=2 - [BCLF1_MOUSE],32.21%,3,1,32,117,919,105.9,9.99
Q6PAJ1,Breakpoint cluster region protein OS=Mus musculus GN=Bcr PE=1 SV=3 - [BCR_MOUSE],5.12%,1,4,7,26,1270,143,6.92
Q9CZP5,Mitochondrial chaperone BCS1 OS=Mus musculus GN=Bcs1l PE=1 SV=1 - [BCS1_MOUSE],22.01%,1,6,6,14,418,47.4,7.93
Q80XN0,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial OS=Mus musculus GN=Bdh1 PE=1 SV=2 - [BDH_MOUSE]",43.73%,2,12,13,31,343,38.3,9.01
O88597,Beclin-1 OS=Mus musculus GN=Becn1 PE=1 SV=3 - [BECN1_MOUSE],20.76%,7,8,8,16,448,51.6,4.93
P23780,Beta-galactosidase OS=Mus musculus GN=Glb1 PE=2 SV=1 - [BGAL_MOUSE],31.22%,1,19,19,47,647,73.1,7.47
Q9QYC3,Class A basic helix-loop-helix protein 15 OS=Mus musculus GN=Bhlha15 PE=2 SV=1 - [BHA15_MOUSE],4.57%,1,1,1,1,197,22.1,11.15
Q9DBJ3,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 OS=Mus musculus GN=Baiap2l1 PE=1 SV=1 - [BI2L1_MOUSE],34.63%,1,14,14,23,514,57.2,8.75
Q921C5,Protein bicaudal D homolog 2 OS=Mus musculus GN=Bicd2 PE=1 SV=1 - [BICD2_MOUSE],50.00%,3,34,40,155,820,93.3,5.44
Q9CY64,Biliverdin reductase A OS=Mus musculus GN=Blvra PE=2 SV=1 - [BIEA_MOUSE],71.86%,4,22,22,130,295,33.5,7.02
G3X9K3,Brefeldin A-inhibited guanine nucleotide-exchange protein 1 OS=Mus musculus GN=Arfgef1 PE=2 SV=1 - [BIG1_MOUSE],19.34%,2,18,30,71,1846,208.4,5.86
A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Mus musculus GN=Arfgef2 PE=1 SV=1 - [BIG2_MOUSE],35.32%,2,39,51,139,1792,202.1,6.55
Q3UGY8,Brefeldin A-inhibited guanine nucleotide-exchange protein 3 OS=Mus musculus GN=Arfgef3 PE=1 SV=1 - [BIG3_MOUSE],29.49%,1,45,45,97,2170,239.9,5.88
Q8VED2,Biogenesis of lysosome-related organelles complex 1 subunit 4 OS=Mus musculus GN=Bloc1s4 PE=1 SV=1 - [BL1S4_MOUSE],34.88%,1,5,5,16,215,23.1,5.14
Q8R016,Bleomycin hydrolase OS=Mus musculus GN=Blmh PE=1 SV=1 - [BLMH_MOUSE],59.56%,4,10,26,166,455,52.5,6.48
Q923D2,Flavin reductase (NADPH) OS=Mus musculus GN=Blvrb PE=2 SV=3 - [BLVRB_MOUSE],86.89%,3,12,12,142,206,22.2,7.01
Q9WTL8,Aryl hydrocarbon receptor nuclear translocator-like protein 1 OS=Mus musculus GN=Arntl PE=1 SV=2 - [BMAL1_MOUSE],15.35%,1,7,7,10,632,69.4,6.58
P25916,Polycomb complex protein BMI-1 OS=Mus musculus GN=Bmi1 PE=1 SV=1 - [BMI1_MOUSE],19.75%,6,2,6,17,324,36.7,8.65
Q91Z96,BMP-2-inducible protein kinase OS=Mus musculus GN=Bmp2k PE=1 SV=1 - [BMP2K_MOUSE],14.76%,1,8,10,24,1138,126.1,6.8
O35607,Bone morphogenetic protein receptor type-2 OS=Mus musculus GN=Bmpr2 PE=1 SV=1 - [BMPR2_MOUSE],17.82%,1,13,13,29,1038,114.9,6.23
O54940,BCL2/adenovirus E1B 19 kDa protein-interacting protein 2 OS=Mus musculus GN=Bnip2 PE=1 SV=2 - [BNIP2_MOUSE],17.48%,4,7,8,20,326,37.7,4.97
Q5SQY2,Biorientation of chromosomes in cell division protein 1 OS=Mus musculus GN=Bod1 PE=2 SV=1 - [BOD1_MOUSE],37.57%,1,3,5,6,173,18.4,5.9
Q9D8S9,BolA-like protein 1 OS=Mus musculus GN=Bola1 PE=1 SV=1 - [BOLA1_MOUSE],70.07%,1,8,8,59,137,14.4,8.76
Q8BGS2,BolA-like protein 2 OS=Mus musculus GN=Bola2 PE=1 SV=1 - [BOLA2_MOUSE],75.58%,1,6,6,43,86,10.2,6.16
P97452,Ribosome biogenesis protein BOP1 OS=Mus musculus GN=Bop1 PE=1 SV=1 - [BOP1_MOUSE],21.72%,1,10,10,25,732,82.5,6.28
Q91W92,Cdc42 effector protein 1 OS=Mus musculus GN=Cdc42ep1 PE=1 SV=1 - [BORG5_MOUSE],61.86%,1,17,17,93,409,43.1,7.21
Q8R164,Valacyclovir hydrolase OS=Mus musculus GN=Bphl PE=1 SV=1 - [BPHL_MOUSE],41.58%,1,11,11,53,291,32.8,8.94
Q9Z0S1,"3'(2'),5'-bisphosphate nucleotidase 1 OS=Mus musculus GN=Bpnt1 PE=1 SV=2 - [BPNT1_MOUSE]",69.16%,3,18,18,173,308,33.2,5.82
P28028,Serine/threonine-protein kinase B-raf OS=Mus musculus GN=Braf PE=1 SV=3 - [BRAF_MOUSE],14.30%,1,1,12,54,804,88.7,7.65
Q8C3R1,BRCA1-associated ATM activator 1 OS=Mus musculus GN=Brat1 PE=2 SV=1 - [BRAT1_MOUSE],21.65%,3,13,14,29,822,89,5.31
P46737,Lys-63-specific deubiquitinase BRCC36 OS=Mus musculus GN=Brcc3 PE=2 SV=1 - [BRCC3_MOUSE],54.30%,4,13,13,53,291,33.3,5.83
Q7JJ13,Bromodomain-containing protein 2 OS=Mus musculus GN=Brd2 PE=1 SV=1 - [BRD2_MOUSE],26.32%,5,16,18,57,798,88,9.13
Q8K2F0,Bromodomain-containing protein 3 OS=Mus musculus GN=Brd3 PE=1 SV=2 - [BRD3_MOUSE],17.22%,4,7,11,28,726,79.7,9.36
Q9ESU6,Bromodomain-containing protein 4 OS=Mus musculus GN=Brd4 PE=1 SV=2 - [BRD4_MOUSE],14.14%,6,13,18,50,1400,155.8,9.19
O88665,Bromodomain-containing protein 7 OS=Mus musculus GN=Brd7 PE=1 SV=1 - [BRD7_MOUSE],13.82%,1,6,6,10,651,74,6.38
Q5DTM8,E3 ubiquitin-protein ligase BRE1A OS=Mus musculus GN=Rnf20 PE=2 SV=2 - [BRE1A_MOUSE],43.68%,4,33,42,89,973,113.5,5.96
Q3U319,E3 ubiquitin-protein ligase BRE1B OS=Mus musculus GN=Rnf40 PE=1 SV=2 - [BRE1B_MOUSE],33.57%,2,23,33,73,1001,113.9,6.48
Q8K3W0,BRCA1-A complex subunit BRE OS=Mus musculus GN=Bre PE=1 SV=2 - [BRE_MOUSE],43.08%,4,14,14,59,383,43.5,5.94
Q91VR8,Protein BRICK1 OS=Mus musculus GN=Brk1 PE=2 SV=1 - [BRK1_MOUSE],73.33%,1,7,7,36,75,8.8,5.45
Q3U1T3,Breast cancer metastasis-suppressor 1-like protein OS=Mus musculus GN=Brms1l PE=2 SV=1 - [BRM1L_MOUSE],9.60%,1,3,3,4,323,37.6,5.15
Q3URV1,Protein broad-minded OS=Mus musculus GN=Tbc1d32 PE=1 SV=2 - [BROMI_MOUSE],0.46%,1,1,1,7,1296,148,6.15
Q8K2Q7,BRO1 domain-containing protein BROX OS=Mus musculus GN=Brox PE=2 SV=1 - [BROX_MOUSE],53.53%,2,19,20,85,411,46.2,7.69
Q9DCA5,Ribosome biogenesis protein BRX1 homolog OS=Mus musculus GN=Brix1 PE=2 SV=3 - [BRX1_MOUSE],33.99%,4,9,9,20,353,41.2,10.02
Q80Y55,BSD domain-containing protein 1 OS=Mus musculus GN=Bsdc1 PE=2 SV=1 - [BSDC1_MOUSE],30.68%,2,9,9,18,427,46.9,4.4
Q8C726,BTB/POZ domain-containing protein 9 OS=Mus musculus GN=Btbd9 PE=2 SV=1 - [BTBD9_MOUSE],2.61%,1,2,2,4,612,69.1,5.68
Q6GQW0,Ankyrin repeat and BTB/POZ domain-containing protein BTBD11 OS=Mus musculus GN=Btbd11 PE=2 SV=2 - [BTBDB_MOUSE],22.18%,3,17,18,29,1109,121.5,6.81
E9Q173,BTB/POZ domain-containing protein 16 OS=Mus musculus GN=Btbd16 PE=4 SV=1 - [BTBDG_MOUSE],1.15%,1,1,1,4,522,60.2,9.26
Q8CIF4,Biotinidase OS=Mus musculus GN=Btd PE=1 SV=2 - [BTD_MOUSE],24.81%,1,9,9,19,520,58.1,5.8
Q64152,Transcription factor BTF3 OS=Mus musculus GN=Btf3 PE=1 SV=3 - [BTF3_MOUSE],50.98%,1,10,11,72,204,22,9.52
O08901,Mitotic checkpoint serine/threonine-protein kinase BUB1 OS=Mus musculus GN=Bub1 PE=2 SV=1 - [BUB1_MOUSE],0.66%,2,1,1,1,1058,119.5,6.1
Q9WVA3,Mitotic checkpoint protein BUB3 OS=Mus musculus GN=Bub3 PE=2 SV=2 - [BUB3_MOUSE],51.23%,1,15,15,135,326,36.9,6.84
O54825,Bystin OS=Mus musculus GN=Bysl PE=1 SV=3 - [BYST_MOUSE],19.72%,1,8,8,17,436,49.8,7.78
Q91VK1,Basic leucine zipper and W2 domain-containing protein 2 OS=Mus musculus GN=Bzw2 PE=1 SV=1 - [BZW2_MOUSE],12.65%,2,2,7,31,419,48,6.68
O35127,Protein C10 OS=Mus musculus GN=Grcc10 PE=2 SV=1 - [C10_MOUSE],80.16%,1,7,7,55,126,13.2,5.14
Q8CI33,CWF19-like protein 1 OS=Mus musculus GN=Cwf19l1 PE=2 SV=2 - [C19L1_MOUSE],34.82%,1,17,17,39,537,60.2,7.14
Q8BVD7,Complement C1q tumor necrosis factor-related protein 7 OS=Mus musculus GN=C1qtnf7 PE=2 SV=2 - [C1QT7_MOUSE],5.19%,2,1,1,5,289,30.5,5.26
Q922D8,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Mus musculus GN=Mthfd1 PE=1 SV=4 - [C1TC_MOUSE]",68.56%,1,57,58,321,935,101.1,7.14
Q9D211,CDKN2AIP N-terminal-like protein OS=Mus musculus GN=Cdkn2aipnl PE=2 SV=1 - [C2AIL_MOUSE],5.17%,1,1,1,1,116,13.2,5.29
Q8K1A6,Coiled-coil and C2 domain-containing protein 1A OS=Mus musculus GN=Cc2d1a PE=1 SV=2 - [C2D1A_MOUSE],27.78%,1,2,21,53,943,103.6,7.84
Q9EQG9,Collagen type IV alpha-3-binding protein OS=Mus musculus GN=Col4a3bp PE=1 SV=1 - [C43BP_MOUSE],50.96%,2,29,29,93,624,71.1,5.44
Q9CZB0,"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial OS=Mus musculus GN=Sdhc PE=2 SV=1 - [C560_MOUSE]",18.93%,3,2,2,2,169,18.4,9.94
Q9WUE3,Cytochrome b561 domain-containing protein 2 OS=Mus musculus GN=Cyb561d2 PE=2 SV=1 - [C56D2_MOUSE],2.70%,1,1,1,1,222,24.2,10.13
Q9WUF3,CASP8-associated protein 2 OS=Mus musculus GN=Casp8ap2 PE=1 SV=2 - [C8AP2_MOUSE],0.36%,1,1,1,3,1962,219,6.67
Q499E6,Uncharacterized protein C1orf109 homolog OS=Mus musculus PE=2 SV=1 - [CA109_MOUSE],3.69%,1,1,1,1,217,24.4,5.01
Q80WR5,UPF0688 protein C1orf174 homolog OS=Mus musculus PE=1 SV=1 - [CA174_MOUSE],43.91%,3,7,7,16,230,24.8,6.04
Q8C3W1,Uncharacterized protein C1orf198 homolog OS=Mus musculus PE=2 SV=1 - [CA198_MOUSE],65.84%,1,20,20,104,322,35.3,5.24
Q6PHS9,Voltage-dependent calcium channel subunit alpha-2/delta-2 OS=Mus musculus GN=Cacna2d2 PE=1 SV=1 - [CA2D2_MOUSE],30.85%,2,31,31,94,1154,130.3,5.66
Q06138,Calcium-binding protein 39 OS=Mus musculus GN=Cab39 PE=1 SV=2 - [CAB39_MOUSE],64.52%,3,25,32,222,341,39.8,6.89
Q61112,45 kDa calcium-binding protein OS=Mus musculus GN=Sdf4 PE=2 SV=1 - [CAB45_MOUSE],43.77%,1,14,14,39,361,42,4.96
Q8CAK1,"Putative transferase CAF17 homolog, mitochondrial OS=Mus musculus GN=Iba57 PE=1 SV=1 - [CAF17_MOUSE]",8.94%,1,3,3,6,358,38.4,9.01
Q9D6N1,Carbonic anhydrase 13 OS=Mus musculus GN=Ca13 PE=1 SV=1 - [CAH13_MOUSE],53.44%,1,11,11,89,262,29.5,6.65
P00920,Carbonic anhydrase 2 OS=Mus musculus GN=Ca2 PE=1 SV=4 - [CAH2_MOUSE],22.31%,1,3,3,6,260,29,7.01
P12658,Calbindin OS=Mus musculus GN=Calb1 PE=1 SV=2 - [CALB1_MOUSE],49.04%,2,10,10,35,261,30,4.83
P14211,Calreticulin OS=Mus musculus GN=Calr PE=1 SV=1 - [CALR_MOUSE],78.37%,1,45,45,992,416,48,4.49
O35887,Calumenin OS=Mus musculus GN=Calu PE=1 SV=1 - [CALU_MOUSE],59.37%,7,4,20,187,315,37,4.67
P35564,Calnexin OS=Mus musculus GN=Canx PE=1 SV=1 - [CALX_MOUSE],56.01%,2,38,38,357,591,67.2,4.64
Q8C1B1,Calmodulin-regulated spectrin-associated protein 2 OS=Mus musculus GN=Camsap2 PE=1 SV=3 - [CAMP2_MOUSE],16.43%,2,17,18,29,1461,164.2,6.86
Q80VC9,Calmodulin-regulated spectrin-associated protein 3 OS=Mus musculus GN=Camsap3 PE=1 SV=1 - [CAMP3_MOUSE],16.69%,2,13,15,27,1252,135.1,8.43
O35350,Calpain-1 catalytic subunit OS=Mus musculus GN=Capn1 PE=1 SV=1 - [CAN1_MOUSE],59.19%,1,46,46,318,713,82.1,5.87
O08529,Calpain-2 catalytic subunit OS=Mus musculus GN=Capn2 PE=2 SV=4 - [CAN2_MOUSE],67.86%,1,51,51,686,700,79.8,4.96
Q9R1S8,Calpain-7 OS=Mus musculus GN=Capn7 PE=2 SV=1 - [CAN7_MOUSE],25.22%,2,17,17,28,813,92.5,7.97
Q9D805,Calpain-9 OS=Mus musculus GN=Capn9 PE=2 SV=2 - [CAN9_MOUSE],1.88%,1,1,2,6,690,78.9,5.36
Q6ZQ38,Cullin-associated NEDD8-dissociated protein 1 OS=Mus musculus GN=Cand1 PE=2 SV=2 - [CAND1_MOUSE],60.65%,2,77,79,777,1230,136.2,5.78
Q6ZQ73,Cullin-associated NEDD8-dissociated protein 2 OS=Mus musculus GN=Cand2 PE=1 SV=2 - [CAND2_MOUSE],8.26%,1,6,9,34,1235,135.5,5.58
Q8VCF1,Soluble calcium-activated nucleotidase 1 OS=Mus musculus GN=Cant1 PE=2 SV=1 - [CANT1_MOUSE],24.81%,1,8,8,11,403,45.6,6.77
P40124,Adenylyl cyclase-associated protein 1 OS=Mus musculus GN=Cap1 PE=1 SV=4 - [CAP1_MOUSE],81.01%,3,40,40,616,474,51.5,7.52
Q9D3A8,Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein OS=Mus musculus GN=Nos1ap PE=1 SV=3 - [CAPON_MOUSE],47.32%,3,22,22,106,503,55.8,6.09
Q60865,Caprin-1 OS=Mus musculus GN=Caprin1 PE=1 SV=2 - [CAPR1_MOUSE],32.96%,4,23,23,152,707,78.1,5.25
P47757,F-actin-capping protein subunit beta OS=Mus musculus GN=Capzb PE=1 SV=3 - [CAPZB_MOUSE],74.01%,3,3,29,500,277,31.3,5.74
P58660,Caspase recruitment domain-containing protein 10 OS=Mus musculus GN=Card10 PE=2 SV=1 - [CAR10_MOUSE],31.34%,3,24,27,65,1021,114.3,6.14
Q8CIS0,Caspase recruitment domain-containing protein 11 OS=Mus musculus GN=Card11 PE=1 SV=2 - [CAR11_MOUSE],1.64%,5,1,4,4,1159,134,6.37
Q8BI72,CDKN2A-interacting protein OS=Mus musculus GN=Cdkn2aip PE=2 SV=1 - [CARF_MOUSE],62.17%,1,26,26,66,563,59.7,9.16
Q9WVG6,Histone-arginine methyltransferase CARM1 OS=Mus musculus GN=Carm1 PE=1 SV=2 - [CARM1_MOUSE],26.81%,3,14,14,26,608,65.8,6.77
Q8K3W3,Protein CASC3 OS=Mus musculus GN=Casc3 PE=1 SV=3 - [CASC3_MOUSE],7.02%,1,4,4,7,698,75.7,6.44
P29452,Caspase-1 OS=Mus musculus GN=Casp1 PE=1 SV=1 - [CASP1_MOUSE],1.99%,1,1,1,1,402,45.6,6.04
P70677,Caspase-3 OS=Mus musculus GN=Casp3 PE=1 SV=1 - [CASP3_MOUSE],60.65%,1,16,17,47,277,31.5,6.92
O08738,Caspase-6 OS=Mus musculus GN=Casp6 PE=2 SV=1 - [CASP6_MOUSE],44.57%,3,11,12,27,276,31.6,6.89
O89110,Caspase-8 OS=Mus musculus GN=Casp8 PE=1 SV=1 - [CASP8_MOUSE],27.92%,2,11,11,25,480,55.3,5.25
Q9CWL2,Zinc finger protein castor homolog 1 OS=Mus musculus GN=Casz1 PE=2 SV=3 - [CASZ1_MOUSE],16.30%,4,19,20,40,1761,191.1,7.14
P24270,Catalase OS=Mus musculus GN=Cat PE=1 SV=4 - [CATA_MOUSE],66.98%,2,29,29,197,527,59.8,7.88
P10605,Cathepsin B OS=Mus musculus GN=Ctsb PE=1 SV=2 - [CATB_MOUSE],52.80%,1,19,19,210,339,37.3,5.91
P18242,Cathepsin D OS=Mus musculus GN=Ctsd PE=1 SV=1 - [CATD_MOUSE],45.12%,3,16,16,225,410,44.9,7.15
Q9R013,Cathepsin F OS=Mus musculus GN=Ctsf PE=2 SV=1 - [CATF_MOUSE],18.83%,1,6,6,8,462,51.6,6.55
P49935,Pro-cathepsin H OS=Mus musculus GN=Ctsh PE=2 SV=2 - [CATH_MOUSE],29.13%,3,7,7,15,333,37.1,8.4
Q9CS00,Cactin OS=Mus musculus GN=Cactin PE=1 SV=2 - [CATIN_MOUSE],3.63%,1,3,3,3,772,90.6,9.79
P06797,Cathepsin L1 OS=Mus musculus GN=Ctsl PE=1 SV=2 - [CATL1_MOUSE],52.40%,1,13,13,42,334,37.5,6.83
Q9WUU7,Cathepsin Z OS=Mus musculus GN=Ctsz PE=2 SV=1 - [CATZ_MOUSE],37.58%,1,8,8,39,306,34,6.6
P49817,Caveolin-1 OS=Mus musculus GN=Cav1 PE=1 SV=1 - [CAV1_MOUSE],12.92%,5,3,3,4,178,20.5,6.02
P47754,F-actin-capping protein subunit alpha-2 OS=Mus musculus GN=Capza2 PE=1 SV=3 - [CAZA2_MOUSE],82.87%,2,18,24,431,286,32.9,5.85
Q8BVA5,UPF0554 protein C2orf43 homolog OS=Mus musculus PE=2 SV=1 - [CB043_MOUSE],31.90%,1,11,12,37,326,37.3,8.28
Q9CRW3,UPF0538 protein C2orf76 homolog OS=Mus musculus PE=2 SV=2 - [CB076_MOUSE],5.56%,2,1,1,4,126,14.6,7.55
Q9DB16,Calcium-binding protein 39-like OS=Mus musculus GN=Cab39l PE=2 SV=3 - [CB39L_MOUSE],41.84%,1,10,17,80,337,39.1,8.31
P22682,E3 ubiquitin-protein ligase CBL OS=Mus musculus GN=Cbl PE=1 SV=3 - [CBL_MOUSE],39.87%,1,20,25,103,913,100.5,6.67
Q641K1,Cytosolic carboxypeptidase 1 OS=Mus musculus GN=Agtpbp1 PE=1 SV=2 - [CBPC1_MOUSE],1.31%,3,1,2,2,1218,137.1,6.52
O89001,Carboxypeptidase D OS=Mus musculus GN=Cpd PE=1 SV=2 - [CBPD_MOUSE],17.57%,2,21,22,68,1377,152.3,6.18
Q9WVJ3,Carboxypeptidase Q OS=Mus musculus GN=Cpq PE=2 SV=1 - [CBPQ_MOUSE],50.85%,1,19,19,263,470,51.8,6.21
Q8R4V4,Carboxypeptidase Z OS=Mus musculus GN=Cpz PE=2 SV=2 - [CBPZ_MOUSE],1.53%,1,1,1,1,654,73.7,8.05
P48758,Carbonyl reductase [NADPH] 1 OS=Mus musculus GN=Cbr1 PE=1 SV=3 - [CBR1_MOUSE],86.64%,1,26,29,292,277,30.6,8.31
Q8K354,Carbonyl reductase [NADPH] 3 OS=Mus musculus GN=Cbr3 PE=2 SV=1 - [CBR3_MOUSE],15.16%,1,1,3,17,277,30.9,6.57
Q91VT4,Carbonyl reductase family member 4 OS=Mus musculus GN=Cbr4 PE=1 SV=2 - [CBR4_MOUSE],38.14%,2,8,8,20,236,25.4,9.69
Q8VEH6,COBW domain-containing protein 1 OS=Mus musculus GN=Cbwd1 PE=2 SV=1 - [CBWD1_MOUSE],18.58%,1,6,6,10,393,43.7,4.89
P23198,Chromobox protein homolog 3 OS=Mus musculus GN=Cbx3 PE=1 SV=2 - [CBX3_MOUSE],48.09%,4,11,12,140,183,20.8,5.22
Q61686,Chromobox protein homolog 5 OS=Mus musculus GN=Cbx5 PE=1 SV=1 - [CBX5_MOUSE],69.11%,2,14,14,60,191,22.2,5.86
Q8C6E0,Cilia- and flagella-associated protein 36 OS=Mus musculus GN=Cfap36 PE=2 SV=1 - [CFA36_MOUSE],43.44%,2,11,12,35,343,39.6,4.93
Q8VE99,Coiled-coil domain-containing protein 115 OS=Mus musculus GN=Ccdc115 PE=2 SV=1 - [CC115_MOUSE],25.56%,1,4,4,9,180,19.7,8.81
Q9D8X2,Coiled-coil domain-containing protein 124 OS=Mus musculus GN=Ccdc124 PE=2 SV=1 - [CC124_MOUSE],46.54%,1,8,10,26,217,25.3,9.64
Q8BIS8,Coiled-coil domain-containing protein 126 OS=Mus musculus GN=Ccdc126 PE=2 SV=1 - [CC126_MOUSE],28.57%,1,2,4,17,140,15.6,10.18
Q8CI71,Coiled-coil domain-containing protein 132 OS=Mus musculus GN=Ccdc132 PE=2 SV=2 - [CC132_MOUSE],28.53%,2,23,23,50,964,111.1,6.07
Q8C7V8,Coiled-coil domain-containing protein 134 OS=Mus musculus GN=Ccdc134 PE=2 SV=1 - [CC134_MOUSE],34.06%,1,9,9,35,229,26.5,8.53
Q6P5U8,Coiled-coil domain-containing protein 148 OS=Mus musculus GN=Ccdc148 PE=2 SV=1 - [CC148_MOUSE],2.28%,1,1,2,3,527,63.4,6.62
Q6GQT0,Dual specificity protein phosphatase CDC14A OS=Mus musculus GN=Cdc14a PE=2 SV=2 - [CC14A_MOUSE],35.82%,1,18,18,57,603,67.6,9.23
Q6RUT8,Coiled-coil domain-containing protein 154 OS=Mus musculus GN=Ccdc154 PE=2 SV=2 - [CC154_MOUSE],3.65%,2,1,1,1,657,74.6,5.35
E9Q1U1,Coiled-coil domain-containing protein 171 OS=Mus musculus GN=Ccdc171 PE=2 SV=1 - [CC171_MOUSE],1.44%,3,1,4,4,1324,152.2,6.76
Q8VEK0,Cell cycle control protein 50A OS=Mus musculus GN=Tmem30a PE=1 SV=1 - [CC50A_MOUSE],23.08%,3,9,9,24,364,41,8.37
E9Q6B2,Coiled-coil domain-containing protein 85C OS=Mus musculus GN=Ccdc85c PE=2 SV=1 - [CC85C_MOUSE],31.90%,1,12,12,30,420,45.3,6.96
Q8CH18,Cell division cycle and apoptosis regulator protein 1 OS=Mus musculus GN=Ccar1 PE=1 SV=1 - [CCAR1_MOUSE],38.13%,1,37,38,161,1146,132,5.76
